Name,Latitude,Longitude,URL,Location,info,applicationDeadline,percentOfAdmitted,SATT,SATR,SATM,SATW,ACTC,ACTE,ACTM,tuition,in_state,out_state,room,book,undergraduate,category,setting,student_faculty,percentOfWomen
Stanford University,37.4274745,-122.169718999999,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/09/12/stanford.gif,"Stanford, CA","Stanford is recognized as one of the world's leading universities. Our renowned professors offer students a remarkable range of academic courses that are paired with an extraordinary breadth of extracurricular activities and opportunities for research, independent study and public service.The university's mission: to prepare students ""for personal success and direct usefulness in life"" and ""promote the public welfare by exercising an influence on behalf of humanity and civilization."" More than a century after its founding, Stanford University remains dedicated to finding solutions .....","Regular Decision: Jan 1, 2015
			Early Action: Nov 1, 2014","7%
         
          of Applicants Admitted",2080-2350 SAT Total,680-780 SAT Reading,700-790 SAT Math,700-780 SAT Writing,31-34 ACT Composite,32-35 ACT English,31-35 ACT Math,"$57,871

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $41,250","Out-of-State Tuition: $41,250","Room and Board: $2,400","Books & Supplies: $1,500","8,264number of undergraduates",private-non-profit,Setting: suburban,Student/Faculty ratio: 12:1,20% Women
University of California-Los Angeles  UCLA ,34.068921,-118.4451811,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/09/12/ucla_sqlogo.jpg,"Los Angeles, CA","The University of California, Los Angeles is one of the premier public research universities in the United States.  Founded in 1919, it is the second oldest campus in the University of California system.The school receives more applications than any other school in the country, and has the lowest acceptance rate in the UC system.UCLA is the most successful school in the history of NCAA Division I athletics, having amassed more national championship than any other university, including over 100 team championships.For the 2009-2010 school year, UCLA was .....","Regular Decision: Nov 30, 2014","27%
         
          of Applicants Admitted",1760-2140 SAT Total,560-690 SAT Reading,610-740 SAT Math,590-710 SAT Writing,25-31 ACT Composite,25-32 ACT English,26-33 ACT Math,"$30,460

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $11,220","Out-of-State Tuition: $34,098","Room and Board: $3,487","Books & Supplies: $1,521","29,421number of undergraduates",public,Setting: city,Student/Faculty ratio: 16:1,38% Women
University of California-Berkeley,37.8718992,-122.2585399,http://z2.cheggcdn.com/sites/default/files/2011/02/07/uc_berkley.jpg,"Berkeley, CA","The University of California was chartered in 1868 and its flagship campus - envisioned as a ""City of Learning"" - was established at Berkeley, on San Francisco Bay. Today the world's premier public university and a wellspring of innovation, UC Berkeley occupies a 1,232 acre campus with a sylvan 178-acre central core. From this home its academic community makes key contributions to the economic and social well-being of the Bay Area, California, and the nation. 

National rankings consistently place UC Berkeley's undergraduate and graduate programs among the world's best. Although the .....","Regular Decision: Nov 30, 2014","22%
         
          of Applicants Admitted",1870-2230 SAT Total,600-720 SAT Reading,650-770 SAT Math,620-740 SAT Writing,27-33 ACT Composite,27-34 ACT English,27-34 ACT Math,"$31,234

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $11,220","Out-of-State Tuition: $34,098","Room and Board: $3,497","Books & Supplies: $1,213","28,774number of undergraduates",public,Setting: city,Student/Faculty ratio: 17:1,38% Women
San Diego State University  SDSU ,32.7724337,-117.0737578,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2008/9/18/427282/SDSU1_AO-10-16-2008-16-24-19.jpg,"San Diego, CA","San Diego State University provides a unique spectrum of undergraduate and graduate programs to challenge the intellect and cultivate creativity. With cutting-edge research, innovative facilities, and a global perspective, opportunities for students to learn and grow at SDSU are endless. From fine arts and humanities to the sciences, diversity in interests is embraced and ideas flourish in SDSU's academic community.","Regular Decision: Nov 30, 2014","33%
         
          of Applicants Admitted",480-580 SAT Reading,500-610 SAT Math,,,21-26 ACT Composite,21-26 ACT English,22-27 ACT Math,"$22,907

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,472","Out-of-State Tuition: $17,130","Room and Board: $4,169","Books & Supplies: $1,717","27,233number of undergraduates",public,Setting: city,Student/Faculty ratio: 27:1,47% Women
New York University  NYU ,40.7295133999999,-73.9964608999999,http://z2.cheggcdn.com/sites/default/files/2010/02/02/1751725_51cdef7488cc2_nyu-icon.jpeg,"New York, NY","NYU, founded in 1831, is a private, comprehensive university. Programs are offered through the College of Arts and Sciences; the Schools of Education, Health, Nursing, and Arts Professions; Social Work; and Continuing Education; the Stern School of Business; Tisch School of the Arts; Gallatin School of Individualized Study. Its campus is located in Greenwich Village, New York City.","Regular Decision: Jan 1, 2015
			Early Decision: Nov 1, 2014","35%
         
          of Applicants Admitted",1890-2180 SAT Total,620-710 SAT Reading,630-740 SAT Math,640-730 SAT Writing,28-31 ACT Composite,,,"$59,081

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $40,878","Out-of-State Tuition: $40,878","Room and Board: $1,000","Books & Supplies: $1,070","26,900number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 11:1,31% Women
Baylor University  BU ,31.5482204,-97.1184377,http://z2.cheggcdn.com/sites/default/files/2011/10/20/bu.png,"Waco, TX","Baylor University is a private Christian university and a nationally ranked research institution, classified as such with ""high research activity"" by the Carnegie Foundation for the Advancement of Teaching. The university provides a vibrant campus community for approximately 15,000 students by blending interdisciplinary research with an international reputation for educational excellence and a faculty commitment to teaching and scholarship. Chartered in 1845 by the Republic of Texas through the efforts of Baptist pioneers, Baylor is the oldest, continually operating university in Texas. .....","Regular Decision: Feb 1, 2015
			Early Action: Nov 1, 2014","61%
         
          of Applicants Admitted",1650-1980 SAT Total,550-660 SAT Reading,570-670 SAT Math,530-650 SAT Writing,24-29 ACT Composite,24-30 ACT English,24-29 ACT Math,"$45,908

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $30,586","Out-of-State Tuition: $30,586","Room and Board: $4,862","Books & Supplies: $1,364","13,324number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 14:1,47% Women
UC San Diego  UCSD ,32.8819440,-117.2349330,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/6/119597/119597-10-27-2010-17-14-11.jpg,"La Jolla, CA","The University of California at San Diego is one of the world's best research universities.  Many top-ranked faculty and students choose to make an impact at UC San Diego's dynamic campus, which is ideally located near the Pacific Ocean, the U.S.-Mexico border, and the Pacific Rim. Residing on 1,200 acres of coastal woodland, UC San Diego is a powerful magnet for those seeking a fresh approach to education and research.The University is one of the greenest universities in the nation and promotes sustainability solutions throughout the region and the world.  
			Read More","Regular Decision: Nov 30, 2014","35%
         
          of Applicants Admitted",1660-2030 SAT Total,520-650 SAT Reading,590-710 SAT Math,550-670 SAT Writing,23-30 ACT Composite,22-30 ACT English,25-32 ACT Math,"$28,031

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $11,220","Out-of-State Tuition: $34,098","Room and Board: $3,414","Books & Supplies: $1,474","24,835number of undergraduates",public,Setting: city,Student/Faculty ratio: 19:1,41% Women
Yale University,41.3111,-72.9267,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/09/12/yale_squarelogo.jpg,"New Haven, CT","Founded in 1701, Yale is a university with honored traditions. In the diversity of its students, its global outlook, and its outstanding research, it is also a university of compelling change. Today Yale is one of the world’s great research universities, with a total student population of more than 11,000—in Yale College and thirteen graduate and professional schools—and a faculty numbering more than 2,400. For all its size and scope, Yale holds ﬁrmly to its traditional emphasis on undergraduate teaching. Yale is perhaps best known for the strength of its college, where its .....","Regular Decision: Jan 1, 2015
			Early Action: Nov 1, 2014","6.9%
         
          of Applicants Admitted",2140-2390 SAT Total,710-800 SAT Reading,710-790 SAT Math,720-800 SAT Writing,31-35 ACT Composite,,,"$63,200

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $45,800","Out-of-State Tuition: $45,800","Room and Board: $14,000","Books & Supplies: $3,400","5,409number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 6:1,49% Women
The University of Texas at Austin  UT ,30.2849185,-97.7340567,http://z2.cheggcdn.com/sites/default/files/2011/05/04/ut_austin_logo.jpg,"Austin, TX","The U of Texas at Austin, founded in 1883, is a public, comprehensive university. Programs are offered through the Colleges of Business Administration, Communication, Education, Engineering, Fine Arts, Liberal Arts, Natural Sciences, and Pharmacy; and the Schools of Architecture, Nursing, and Social Work. Its 360-acre urban campus is located in Austin.","Regular Decision: Dec 1, 2014","47%
         
          of Applicants Admitted",1670-2060 SAT Total,550-670 SAT Reading,580-710 SAT Math,540-680 SAT Writing,25-31 ACT Composite,24-32 ACT English,26-32 ACT Math,"$25,392

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $9,790","Out-of-State Tuition: $33,128","Room and Board: $3,752",Books & Supplies: $904,"41,565number of undergraduates",public,Setting: city,Student/Faculty ratio: 18:1,38% Women
University of Florida,29.6436325,-82.3549302,http://z2.cheggcdn.com/sites/default/files/2011/01/10/univfla.jpg,"Gainesville, FL","The University of Florida, founded in 1853, is a public, comprehensive university. The 2,000-acre suburban campus is located in Gainesville, 70 miles from Jacksonville.","Regular Decision: Nov 1, 2014","44%
         
          of Applicants Admitted",1740-2030 SAT Total,580-670 SAT Reading,590-690 SAT Math,570-670 SAT Writing,26-31 ACT Composite,25-31 ACT English,25-31 ACT Math,"$18,295

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $4,425","Out-of-State Tuition: $25,641","Room and Board: $3,420","Books & Supplies: $1,080","35,908number of undergraduates",public,Setting: city,Student/Faculty ratio: 20:1,35% Women
