Rank,School name,Score
#1 ,Carnegie Mellon University ,5
#1 ,Massachusetts Institute of Technology ,5
#1 ,Stanford University ,5
#1 ,University of California—​Berkeley ,5
#5 ,University of Illinois—​Urbana-​Champaign ,4.6
#6 ,Cornell University ,4.5
#6 ,University of Washington ,4.5
#8 ,Princeton University ,4.4
#9 ,Georgia Institute of Technology ,4.3
#9 ,University of Texas—​Austin ,4.3
#11 ,California Institute of Technology ,4.2
#11 ,University of Wisconsin—​Madison ,4.2
#13 ,University of California—​Los Angeles ,4.1
#13 ,University of Michigan—​Ann Arbor ,4.1
#15 ,Columbia University ,4
#15 ,University of California—​San Diego ,4
#15 ,University of Maryland—​College Park ,4
#18 ,Harvard University ,3.9
#19 ,University of Pennsylvania ,3.8
#20 ,Brown University ,3.7
#20 ,Purdue University—​West Lafayette ,3.7
#20 ,Rice University ,3.7
#20 ,University of Southern California ,3.7
#20 ,Yale University ,3.7
#25 ,Duke University ,3.6
#25 ,University of Massachusetts—​Amherst ,3.6
#25 ,University of North Carolina—​Chapel Hill ,3.6
#28 ,Johns Hopkins University ,3.5
#29 ,New York University ,3.4
#29 ,Pennsylvania State University—​University Park ,3.4
#29 ,University of California—​Irvine ,3.4
#29 ,University of Minnesota—​Twin Cities ,3.4
#29 ,University of Virginia ,3.4
#34 ,Northwestern University ,3.3
#34 ,Ohio State University ,3.3
#34 ,"Rutgers, The State University of New Jersey—​New Brunswick ",3.3
#34 ,University of California—​Davis ,3.3
#34 ,University of California—​Santa Barbara ,3.3
#34 ,University of Chicago ,3.3
#40 ,Dartmouth College ,3.1
#40 ,Stony Brook University—​SUNY ,3.1
#40 ,Texas A&M University—​College Station ,3.1
#40 ,University of Arizona ,3.1
#40 ,University of Colorado—​Boulder ,3.1
#40 ,University of Utah ,3.1
#40 ,Virginia Tech ,3.1
#40 ,Washington University in St. Louis ,3.1
#48 ,Arizona State University ,3
#48 ,Boston University ,3
#48 ,North Carolina State University ,3
#48 ,University of Florida ,3
#52 ,Indiana University—​Bloomington ,2.9
#52 ,Rensselaer Polytechnic Institute ,2.9
#52 ,University of Pittsburgh ,2.9
#52 ,University of Rochester ,2.9
#56 ,Michigan State University ,2.8
#56 ,University of California—​Riverside ,2.8
#56 ,University of California—​Santa Cruz ,2.8
#56 ,Vanderbilt University ,2.8
#60 ,Northeastern University ,2.7
#60 ,University of Illinois—​Chicago ,2.7
#60 ,University of Notre Dame ,2.7
#63 ,Iowa State University ,2.6
#63 ,University at Buffalo—​SUNY ,2.6
#63 ,University of Iowa ,2.6
#63 ,University of Oregon ,2.6
#67 ,George Mason University ,2.5
#67 ,Oregon State University ,2.5
#67 ,Syracuse University ,2.5
#70 ,Case Western Reserve University ,2.4
#70 ,College of William and Mary ,2.4
#70 ,Colorado State University ,2.4
#70 ,Naval Postgraduate School ,2.4
#70 ,New York University ,2.4
#70 ,Tufts University ,2.4
#70 ,University of Delaware ,2.4
#70 ,University of Maryland—​Baltimore County ,2.4
#70 ,University of Nebraska—​Lincoln ,2.4
#70 ,University of Tennessee—​Knoxville ,2.4
#70 ,University of Texas—​Dallas ,2.4
#70 ,Washington State University ,2.4
#82 ,Brandeis University ,2.3
#82 ,Clemson University ,2.3
#82 ,CUNY Graduate School and University Center ,2.3
#82 ,Florida State University ,2.3
#82 ,George Washington University ,2.3
#82 ,University of Connecticut ,2.3
#82 ,University of Kansas ,2.3
#82 ,University of New Mexico ,2.3
#90 ,Auburn University ,2.2
#90 ,Brigham Young University ,2.2
#90 ,Drexel University ,2.2
#90 ,Kansas State University ,2.2
#90 ,New Jersey Institute of Technology ,2.2
#90 ,Oregon Health and Science University ,2.2
#90 ,University of Central Florida ,2.2
#90 ,University of Georgia ,2.2
#90 ,University of Kentucky ,2.2
#90 ,University of Texas—​Arlington ,2.2
#90 ,Worcester Polytechnic Institute ,2.2
#101 ,Colorado School of Mines ,2.1
#101 ,Illinois Institute of Technology ,2.1
#101 ,Lehigh University ,2.1
#101 ,Louisiana State University—​Baton Rouge ,2.1
#101 ,Stevens Institute of Technology ,2.1
#101 ,University at Albany—​SUNY ,2.1
#101 ,University of Houston ,2.1
#101 ,University of Missouri ,2.1
#101 ,University of North Carolina—​Charlotte ,2.1
#101 ,University of South Carolina ,2.1
#101 ,University of South Florida ,2.1
#112 ,Binghamton University—​SUNY ,2
#112 ,Georgia State University ,2
#112 ,Missouri University of Science & Technology ,2
#112 ,Southern Methodist University ,2
#112 ,Temple University ,2
#112 ,University of Cincinnati ,2
#112 ,University of Oklahoma ,2
#112 ,Wayne State University ,2
#112 ,West Virginia University ,2
